image,label
video_20260507_164640_frame_00000000_0ms.png,2026-05-07 16:46:33.988
video_20260507_164640_frame_00000001_16ms.png,2026-05-07 16:46:34.004
video_20260507_164640_frame_00000002_33ms.png,2026-05-07 16:46:34.021
video_20260507_164640_frame_00000003_49ms.png,2026-05-07 16:46:34.037
video_20260507_164640_frame_00000004_66ms.png,2026-05-07 16:46:34.054
video_20260507_164640_frame_00000005_83ms.png,2026-05-07 16:46:34.071
video_20260507_164640_frame_00000006_99ms.png,2026-05-07 16:46:34.087
video_20260507_164640_frame_00000007_116ms.png,2026-05-07 16:46:34.104
video_20260507_164640_frame_00000008_133ms.png,2026-05-07 16:46:34.121
video_20260507_164640_frame_00000009_149ms.png,2026-05-07 16:46:34.137
video_20260507_164640_frame_00000010_166ms.png,2026-05-07 16:46:34.154
video_20260507_164640_frame_00000011_183ms.png,2026-05-07 16:46:34.171
video_20260507_164640_frame_00000012_199ms.png,2026-05-07 16:46:34.187
video_20260507_164640_frame_00000013_216ms.png,2026-05-07 16:46:34.204
video_20260507_164640_frame_00000014_233ms.png,2026-05-07 16:46:34.221
video_20260507_164640_frame_00000015_249ms.png,2026-05-07 16:46:34.237
video_20260507_164640_frame_00000016_266ms.png,2026-05-07 16:46:34.254
video_20260507_164640_frame_00000017_283ms.png,2026-05-07 16:46:34.271
video_20260507_164640_frame_00000018_299ms.png,2026-05-07 16:46:34.287
video_20260507_164640_frame_00000037_616ms.png,2026-05-07 16:46:34.604
video_20260507_164640_frame_00000038_633ms.png,2026-05-07 16:46:34.621
video_20260507_164640_frame_00000039_649ms.png,2026-05-07 16:46:34.637
video_20260507_164640_frame_00000040_666ms.png,2026-05-07 16:46:34.654
video_20260507_164640_frame_00000041_683ms.png,2026-05-07 16:46:34.671
video_20260507_164640_frame_00000048_799ms.png,2026-05-07 16:46:34.787
video_20260507_164640_frame_00000049_816ms.png,2026-05-07 16:46:34.804
video_20260507_164640_frame_00000050_833ms.png,2026-05-07 16:46:34.821
video_20260507_164640_frame_00000051_849ms.png,2026-05-07 16:46:34.837
video_20260507_164640_frame_00000053_883ms.png,2026-05-07 16:46:34.871
video_20260507_164640_frame_00000054_899ms.png,2026-05-07 16:46:34.887
video_20260507_164640_frame_00000055_916ms.png,2026-05-07 16:46:34.904
video_20260507_164640_frame_00000056_933ms.png,2026-05-07 16:46:34.921
video_20260507_164640_frame_00000057_949ms.png,2026-05-07 16:46:34.937
video_20260507_164640_frame_00000058_966ms.png,2026-05-07 16:46:34.954
video_20260507_164640_frame_00000059_983ms.png,2026-05-07 16:46:34.971
video_20260507_164640_frame_00000060_999ms.png,2026-05-07 16:46:34.987
video_20260507_164640_frame_00000061_1016ms.png,2026-05-07 16:46:35.004
video_20260507_164640_frame_00000062_1033ms.png,2026-05-07 16:46:35.021
video_20260507_164640_frame_00000063_1049ms.png,2026-05-07 16:46:35.037
video_20260507_164640_frame_00000064_1066ms.png,2026-05-07 16:46:35.054
video_20260507_164640_frame_00000065_1083ms.png,2026-05-07 16:46:35.071
video_20260507_164640_frame_00000066_1099ms.png,2026-05-07 16:46:35.087
video_20260507_164640_frame_00000067_1116ms.png,2026-05-07 16:46:35.104
video_20260507_164640_frame_00000068_1133ms.png,2026-05-07 16:46:35.121
video_20260507_164640_frame_00000069_1149ms.png,2026-05-07 16:46:35.137
video_20260507_164640_frame_00000070_1166ms.png,2026-05-07 16:46:35.154
video_20260507_164640_frame_00000071_1183ms.png,2026-05-07 16:46:35.171
video_20260507_164640_frame_00000072_1199ms.png,2026-05-07 16:46:35.187
video_20260507_164640_frame_00000073_1216ms.png,2026-05-07 16:46:35.204
video_20260507_164640_frame_00000074_1233ms.png,2026-05-07 16:46:35.221
video_20260507_164640_frame_00000075_1249ms.png,2026-05-07 16:46:35.237
video_20260507_164640_frame_00000076_1266ms.png,2026-05-07 16:46:35.254
video_20260507_164640_frame_00000077_1283ms.png,2026-05-07 16:46:35.271
video_20260507_164640_frame_00000078_1299ms.png,2026-05-07 16:46:35.287
video_20260507_164640_frame_00000079_1316ms.png,2026-05-07 16:46:35.304
video_20260507_164640_frame_00000080_1333ms.png,2026-05-07 16:46:35.321
video_20260507_164640_frame_00000081_1349ms.png,2026-05-07 16:46:35.337
video_20260507_164640_frame_00000082_1366ms.png,2026-05-07 16:46:35.354
video_20260507_164640_frame_00000083_1383ms.png,2026-05-07 16:46:35.371
video_20260507_164640_frame_00000084_1399ms.png,2026-05-07 16:46:35.387
video_20260507_164640_frame_00000085_1416ms.png,2026-05-07 16:46:35.404
video_20260507_164640_frame_00000086_1433ms.png,2026-05-07 16:46:35.421
video_20260507_164640_frame_00000087_1449ms.png,2026-05-07 16:46:35.437
video_20260507_164640_frame_00000088_1466ms.png,2026-05-07 16:46:35.454
video_20260507_164640_frame_00000089_1483ms.png,2026-05-07 16:46:35.471
video_20260507_164640_frame_00000090_1499ms.png,2026-05-07 16:46:35.487
video_20260507_164640_frame_00000091_1516ms.png,2026-05-07 16:46:35.504
video_20260507_164640_frame_00000092_1533ms.png,2026-05-07 16:46:35.521
video_20260507_164640_frame_00000093_1549ms.png,2026-05-07 16:46:35.537
video_20260507_164640_frame_00000094_1566ms.png,2026-05-07 16:46:35.554
video_20260507_164640_frame_00000095_1583ms.png,2026-05-07 16:46:35.571
video_20260507_164640_frame_00000096_1599ms.png,2026-05-07 16:46:35.587
video_20260507_164640_frame_00000097_1616ms.png,2026-05-07 16:46:35.604
